보험회사명,상품명,유지기간,납입보험료,계약자적립액,적립률,해약환급금,계약자적립액_1,적립률_1,해약환급금_1,최저보증이율,현재공시이율,평균공시이율,확정이율,사업비율,위험보장,확정이율_1,현재공시이율_1,최저보증이율_1,가입유형,유니버셜여부,납입방법,판매채널,판매일자,특이사항,대표번호
삼성생명,삼성 팝콘 저축보험(2503)(무배당),0.25,"600,000 원","602,580 원",100.43 %,"602,580 원","602,590 원",100.43 %,"602,590 원",-,-,-,3.00 %,0.07 %,0.0060 %,3.00 %,-,-,적립,비유니버셜,월납,CM,2025-03-17,"□ 필수 기재사항 1. 가입연령 : 20세 ~ 65세 2. 보험기간 : 6개월만기 3. 해약환급금 예시 기준 : 가입나이 40세, 6개월만기, 전기월납, 기본보험료 20만원 □ 선택 기재사항 1. 납입기간 : 전기납 2. 계약체결 및 관리비용은 경과이자(매월 월 계약해당일의 기본보험료 계약자적립액에서 이미 납입한 기본보험료를 차감한 금액)에 비례하여 계산하는 방식 ※ 해당 예시 금액의 경우 추가납입 가정을 고려하지 않았으며, 보다 자세한 사항은 약관 및 상품설명서 참조하시길 바랍니다.",1588-3114
삼성생명,삼성 팝콘 저축보험(2503)(무배당),0.5,"1,200,000 원","1,207,560 원",100.63 %,"1,207,560 원","1,207,570 원",100.63 %,"1,207,570 원",-,-,-,3.00 %,0.24 %,0.0060 %,3.00 %,-,-,적립,비유니버셜,월납,CM,2025-03-17,"□ 필수 기재사항 1. 가입연령 : 20세 ~ 65세 2. 보험기간 : 6개월만기 3. 해약환급금 예시 기준 : 가입나이 40세, 6개월만기, 전기월납, 기본보험료 20만원 □ 선택 기재사항 1. 납입기간 : 전기납 2. 계약체결 및 관리비용은 경과이자(매월 월 계약해당일의 기본보험료 계약자적립액에서 이미 납입한 기본보험료를 차감한 금액)에 비례하여 계산하는 방식 ※ 해당 예시 금액의 경우 추가납입 가정을 고려하지 않았으며, 보다 자세한 사항은 약관 및 상품설명서 참조하시길 바랍니다.",1588-3114
흥국생명,(무)흥국생명 프리미엄드림저축보험,1.0,"50,000,000 원","49,899,953 원",99.80 %,"49,899,953 원","49,907,117 원",99.81 %,"49,907,117 원",-1.13 %,-0.20 %,0.34 %,-,2.34 %,0.0232 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,대면채널,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,3.0,"50,000,000 원","51,442,576 원",102.89 %,"51,442,576 원","51,467,114 원",102.93 %,"51,467,114 원",0.01 %,2.88 %,4.57 %,-,3.60 %,0.0809 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,대면채널,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,5.0,"50,000,000 원","53,204,627 원",106.41 %,"53,204,627 원","53,250,930 원",106.50 %,"53,250,930 원",1.48 %,6.40 %,9.34 %,-,4.56 %,0.1494 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,대면채널,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,7.0,"50,000,000 원","55,037,946 원",110.08 %,"55,037,946 원","55,111,461 원",110.22 %,"55,111,461 원",2.47 %,10.07 %,14.36 %,-,5.52 %,0.2317 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,대면채널,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,10.0,"50,000,000 원","58,173,531 원",116.35 %,"58,173,531 원","58,301,577 원",116.60 %,"58,301,577 원",4.45 %,16.34 %,22.89 %,-,6.96 %,0.3906 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,대면채널,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,1.0,"3,600,000 원","3,447,141 원",95.75 %,"3,231,141 원","3,447,141 원",95.75 %,"3,231,141 원",-4.73 %,-4.24 %,-3.96 %,-,5.36 %,0.0120 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,대면채널,2023-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,3.0,"10,800,000 원","10,570,604 원",97.88 %,"10,426,604 원","10,570,604 원",97.88 %,"10,426,604 원",-3.53 %,-2.12 %,-1.30 %,-,5.36 %,0.0127 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,대면채널,2023-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,5.0,"18,000,000 원","18,010,946 원",100.06 %,"17,938,946 원","18,010,946 원",100.06 %,"17,938,946 원",-2.31 %,0.06 %,1.46 %,-,5.36 %,0.0138 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,대면채널,2023-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,7.0,"25,200,000 원","25,782,265 원",102.31 %,"25,782,265 원","25,782,265 원",102.31 %,"25,782,265 원",-1.50 %,2.31 %,4.32 %,-,5.36 %,0.0150 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,대면채널,2023-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 프리미엄드림저축보험,10.0,"36,000,000 원","38,381,523 원",106.62 %,"38,381,523 원","38,381,523 원",106.62 %,"38,381,523 원",0.65 %,6.61 %,9.64 %,-,4.57 %,0.0174 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,대면채널,2023-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,1.0,"50,000,000 원","49,899,953 원",99.80 %,"49,899,953 원","49,907,117 원",99.81 %,"49,907,117 원",-1.13 %,-0.20 %,0.34 %,-,2.34 %,0.0232 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,3.0,"50,000,000 원","51,442,576 원",102.89 %,"51,442,576 원","51,467,114 원",102.93 %,"51,467,114 원",0.01 %,2.88 %,4.57 %,-,3.60 %,0.0809 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,5.0,"50,000,000 원","53,204,627 원",106.41 %,"53,204,627 원","53,250,930 원",106.50 %,"53,250,930 원",1.48 %,6.40 %,9.34 %,-,4.56 %,0.1494 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,7.0,"50,000,000 원","55,037,946 원",110.08 %,"55,037,946 원","55,111,461 원",110.22 %,"55,111,461 원",2.47 %,10.07 %,14.36 %,-,5.52 %,0.2317 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,10.0,"50,000,000 원","58,173,531 원",116.35 %,"58,173,531 원","58,301,577 원",116.60 %,"58,301,577 원",4.45 %,16.34 %,22.89 %,-,6.96 %,0.3906 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),거치,비유니버셜,일시납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입형태, 성별에 따라 차등적용) 2. 보험기간 : 5,10,12,15,20년만기 3. 해약환급금 및 예상수익률 / 사업비 및 비용정보 : 거치형, 기본형, 55세, 기본보험료 5,000만원, 10년만기,일시납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,1.0,"3,600,000 원","3,447,141 원",95.75 %,"3,231,141 원","3,447,141 원",95.75 %,"3,231,141 원",-4.73 %,-4.24 %,-3.96 %,-,5.36 %,0.0120 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,3.0,"10,800,000 원","10,570,604 원",97.88 %,"10,426,604 원","10,570,604 원",97.88 %,"10,426,604 원",-3.53 %,-2.12 %,-1.30 %,-,5.36 %,0.0127 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,5.0,"18,000,000 원","18,010,946 원",100.06 %,"17,938,946 원","18,010,946 원",100.06 %,"17,938,946 원",-2.31 %,0.06 %,1.46 %,-,5.36 %,0.0138 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,7.0,"25,200,000 원","25,782,265 원",102.31 %,"25,782,265 원","25,782,265 원",102.31 %,"25,782,265 원",-1.50 %,2.31 %,4.32 %,-,5.36 %,0.0150 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
흥국생명,(무)흥국생명 드림저축보험2407,10.0,"36,000,000 원","38,381,523 원",106.62 %,"38,381,523 원","38,381,523 원",106.62 %,"38,381,523 원",0.65 %,6.61 %,9.64 %,-,4.57 %,0.0174 %,-,2.20 %,1.25%(5년이내)/1.0%(5년초과10년이내)/0.5%(10년초과),적립,비유니버셜,월납,방카슈랑스,2024-07-01,"1. 가입나이 : 만15세 ~ 80세(납입기간별, 성별 차등 적용) 2. 보험기간 : 3,4,5,7,10,12,15,20년만기(납입기간별 차등) 3. 해약환급금 및 예상수익률 / 사업비 및 비용 정보 예시기준 : 수익형, 계약자적립액가산형, 40세, 기본보험료 30만원, 10년만기, 전기납, 월납",1588-2288
교보생명,(무)교보사랑저축보험,1.0,"3,600,000 원","3,465,720 원",96.27 %,"3,414,291 원","3,466,157 원",96.28 %,"3,414,729 원",-0.04 %,-3.73 %,-3.48 %,-,4.86 %,0.0360 %,-,2.27 %,5년미만 : 1.25% 5년이상 10년미만 : 1.0% 10년이상 : 0.5%,적립,비유니버셜,월납,대면채널,2025-06-27,"■필수기재사항 1.가입나이 : 만15세 ~ 최고 74세 (남녀 성별 상이) 2.보험기간 : 10년만기(자동갱신) 3.해약환급금 예시 : 적립형, 40세, 10년만기(자동갱신), 전기납, 보험료 30만원, 공시이율 2.27% 기준 ■선택기재사항 1.적립형만 있음",1588-1001
교보생명,(무)교보사랑저축보험,3.0,"10,800,000 원","10,634,742 원",98.47 %,"10,600,456 원","10,636,267 원",98.48 %,"10,601,982 원",-0.03 %,-1.53 %,-0.81 %,-,4.86 %,0.0380 %,-,2.27 %,5년미만 : 1.25% 5년이상 10년미만 : 1.0% 10년이상 : 0.5%,적립,비유니버셜,월납,대면채널,2025-06-27,"■필수기재사항 1.가입나이 : 만15세 ~ 최고 74세 (남녀 성별 상이) 2.보험기간 : 10년만기(자동갱신) 3.해약환급금 예시 : 적립형, 40세, 10년만기(자동갱신), 전기납, 보험료 30만원, 공시이율 2.27% 기준 ■선택기재사항 1.적립형만 있음",1588-1001
교보생명,(무)교보사랑저축보험,5.0,"18,000,000 원","18,132,452 원",100.74 %,"18,115,309 원","18,135,411 원",100.75 %,"18,118,269 원",-0.02 %,0.74 %,1.97 %,-,4.86 %,0.0410 %,-,2.27 %,5년미만 : 1.25% 5년이상 10년미만 : 1.0% 10년이상 : 0.5%,적립,비유니버셜,월납,대면채널,2025-06-27,"■필수기재사항 1.가입나이 : 만15세 ~ 최고 74세 (남녀 성별 상이) 2.보험기간 : 10년만기(자동갱신) 3.해약환급금 예시 : 적립형, 40세, 10년만기(자동갱신), 전기납, 보험료 30만원, 공시이율 2.27% 기준 ■선택기재사항 1.적립형만 있음",1588-1001
교보생명,(무)교보사랑저축보험,7.0,"25,200,000 원","25,973,870 원",103.07 %,"25,973,870 원","25,978,586 원",103.09 %,"25,978,586 원",-0.01 %,3.07 %,4.85 %,-,4.86 %,0.0444 %,-,2.27 %,5년미만 : 1.25% 5년이상 10년미만 : 1.0% 10년이상 : 0.5%,적립,비유니버셜,월납,대면채널,2025-06-27,"■필수기재사항 1.가입나이 : 만15세 ~ 최고 74세 (남녀 성별 상이) 2.보험기간 : 10년만기(자동갱신) 3.해약환급금 예시 : 적립형, 40세, 10년만기(자동갱신), 전기납, 보험료 30만원, 공시이율 2.27% 기준 ■선택기재사항 1.적립형만 있음",1588-1001
교보생명,(무)교보사랑저축보험,10.0,"36,000,000 원","38,454,088 원",106.82 %,"38,454,088 원","38,462,260 원",106.84 %,"38,462,260 원",0.00 %,6.82 %,9.47 %,-,4.76 %,0.0504 %,-,2.27 %,5년미만 : 1.25% 5년이상 10년미만 : 1.0% 10년이상 : 0.5%,적립,비유니버셜,월납,대면채널,2025-06-27,"■필수기재사항 1.가입나이 : 만15세 ~ 최고 74세 (남녀 성별 상이) 2.보험기간 : 10년만기(자동갱신) 3.해약환급금 예시 : 적립형, 40세, 10년만기(자동갱신), 전기납, 보험료 30만원, 공시이율 2.27% 기준 ■선택기재사항 1.적립형만 있음",1588-1001
교보생명,교보e저축보험 (무배당),1.0,"3,600,000 원","3,624,051 원",100.67 %,"3,624,051 원","3,624,080 원",100.67 %,"3,624,080 원",0.36 %,0.67 %,0.78 %,-,0.59 %,0.0070 %,-,2.35 %,"5년 미만 : 1.25%, 5년 이상 10년 미만 : 1.0%",적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 20세 ~ 65세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 40세, 10년만기, 전기납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 납입기간 3년,5년,7년,전기납 2. 계약자적립액 예시 - 유지보너스 기시 발생 시점 기준",1588-1001
교보생명,교보e저축보험 (무배당),3.0,"10,800,000 원","10,940,665 원",101.30 %,"10,940,665 원","10,940,774 원",101.30 %,"10,940,774 원",0.47 %,1.30 %,1.67 %,-,2.30 %,0.0073 %,-,2.35 %,"5년 미만 : 1.25%, 5년 이상 10년 미만 : 1.0%",적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 20세 ~ 65세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 40세, 10년만기, 전기납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 납입기간 3년,5년,7년,전기납 2. 계약자적립액 예시 - 유지보너스 기시 발생 시점 기준",1588-1001
교보생명,교보e저축보험 (무배당),5.0,"18,000,000 원","18,498,122 원",102.77 %,"18,498,122 원","18,498,489 원",102.77 %,"18,498,489 원",0.81 %,2.77 %,3.66 %,-,3.22 %,0.0078 %,-,2.35 %,"5년 미만 : 1.25%, 5년 이상 10년 미만 : 1.0%",적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 20세 ~ 65세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 40세, 10년만기, 전기납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 납입기간 3년,5년,7년,전기납 2. 계약자적립액 예시 - 유지보너스 기시 발생 시점 기준",1588-1001
교보생명,교보e저축보험 (무배당),7.0,"25,200,000 원","26,414,631 원",104.82 %,"26,414,631 원","26,415,347 원",104.82 %,"26,415,347 원",1.00 %,4.82 %,6.21 %,-,3.61 %,0.0086 %,-,2.35 %,"5년 미만 : 1.25%, 5년 이상 10년 미만 : 1.0%",적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 20세 ~ 65세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 40세, 10년만기, 전기납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 납입기간 3년,5년,7년,전기납 2. 계약자적립액 예시 - 유지보너스 기시 발생 시점 기준",1588-1001
교보생명,교보e저축보험 (무배당),10.0,"36,000,000 원","39,780,641 원",110.50 %,"39,780,641 원","39,781,993 원",110.51 %,"39,781,993 원",3.94 %,10.20 %,12.71 %,-,3.91 %,0.0096 %,-,2.35 %,"5년 미만 : 1.25%, 5년 이상 10년 미만 : 1.0%",적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 20세 ~ 65세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 40세, 10년만기, 전기납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 납입기간 3년,5년,7년,전기납 2. 계약자적립액 예시 - 유지보너스 기시 발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당)[D],1.0,"3,600,000 원","3,650,972 원",101.42 %,"3,650,972 원","3,650,987 원",101.42 %,"3,650,987 원",1.42 %,1.42 %,1.42 %,-,1.25 %,0.0030 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,TM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당)[D],3.0,"10,800,000 원","11,269,153 원",104.34 %,"11,269,153 원","11,269,269 원",104.35 %,"11,269,269 원",4.34 %,4.34 %,4.34 %,-,3.36 %,0.0033 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,TM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당)[D],5.0,"18,000,000 원","19,638,561 원",109.10 %,"19,638,561 원","19,638,840 원",109.10 %,"19,638,840 원",9.10 %,9.10 %,9.10 %,-,3.94 %,0.0036 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,TM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당)[D],7.0,"18,000,000 원","20,921,167 원",116.23 %,"20,921,167 원","20,921,578 원",116.23 %,"20,921,578 원",13.18 %,16.23 %,17.14 %,-,4.27 %,0.0052 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,TM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당)[D],10.0,"18,000,000 원","22,995,017 원",127.75 %,"22,995,017 원","22,995,699 원",127.75 %,"22,995,699 원",19.52 %,27.75 %,30.27 %,-,4.77 %,0.0082 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,TM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당),1.0,"3,600,000 원","3,650,972 원",101.42 %,"3,650,972 원","3,650,987 원",101.42 %,"3,650,987 원",1.42 %,1.42 %,1.42 %,-,1.25 %,0.0030 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,대면채널,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당),3.0,"10,800,000 원","11,269,153 원",104.34 %,"11,269,153 원","11,269,269 원",104.35 %,"11,269,269 원",4.34 %,4.34 %,4.34 %,-,3.36 %,0.0033 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,대면채널,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
